,ID,Timestamp,Data
0,00000001010,0000000000000000,0011111111110100000000000000000000000000000000000000000000000000
1,00000001010,0000000000000001,0011111111110011111111111111111101111001110010000100001110110110
2,00000001010,0000000000000010,0011111111110011111111111111110111100111001000010001011110100100
3,00000001010,0000000000000011,0011111111110011111111111111101101001000000010101001011000101100
4,00000001010,0000000000000100,0011111111110011111111111111011110011100100001001110101101001100
5,00000001010,0000000000000101,0011111111110011111111111111001011100100100100000101010010010011
6,00000001010,0000000000000110,0011111111110011111111111110110100100000001011010010000100101110
7,00000001010,0000000000000111,0011111111110011111111111110011001001111010110111011000111011100
8,00000001010,0000000000001000,0011111111110011111111111101111001110010000111000111100011111001
9,00000001010,0000000000001001,0011111111110011111111111101010110001000011011111111101001110100
10,00000001010,0000000000001010,0011111111110011111111111100101110010010010101101100101111010101
11,00000001010,0000000000001011,0011111111110011111111111100000010001111110100011001010000111100
12,00000001010,0000000000001100,0011111111110011111111111011010010000000111000010000110001100000
13,00000001010,0000000000001101,0011111111110011111111111010011101100101100001011111111010010000
14,00000001010,0000000000001110,0011111111110011111111111001100100111101110000010100011010110000
15,00000001010,0000000000001111,0011111111110011111111111000101000001001100100111101001000111110
16,00000001010,0000000000010000,0011111111110011111111110111100111001000111111101010000001001101
17,00000001010,0000000000010001,0011111111110011111111110110100001111100000000101100000110001000
18,00000001010,0000000000010010,0011111111110011111111110101011000100010101000010101100000110010
19,00000001010,0000000000010011,0011111111110011111111110100001010111100110110111001100000100011
20,00000001010,0000000000010100,0011111111110011111111110010111001001010101100101100011011001011
21,00000001010,0000000000010101,0011111111110011111111110001100011001100001010000011101100110001
22,00000001010,0000000000010110,0011111111110011111111110000001001000001001111010101110111110010
23,00000001010,0000000000010111,0011111111110011111111101110101010101001111100111010100101000010
24,00000001010,0000000000011000,0011111111110011111111101101001000000110010011001010100011101011
25,00000001010,0000000000011001,0011111111110011111111101011100001010110010010011111101001001111
26,00000001010,0000000000011010,0011111111110011111111101001110110011001111011010100110001100100
27,00000001010,0000000000011011,0011111111110011111111101000000111010001001110000101111110111000
28,00000001010,0000000000011100,0011111111110011111111100110010011111100001011010000011001101110
29,00000001010,0000000000011101,0011111111110011111111100100011100011010110011010010010000111111
30,00000001010,0000000000011110,0011111111110011111111100010100000101101000110101010111001111011
