,ID,Timestamp,Data
0,00000000000,0000000000000000,0000000000000000000000000000000000000000000000000000000000000000
1,00000000000,0000000000000001,0011111111110001100110011001100110011001100110011001100110011010
2,00000000000,0000000000000010,0100000000000001100110011001100110011001100110011001100110011010
3,00000000000,0000000000000011,0100000000001010011001100110011001100110011001100110011001100111
4,00000000000,0000000000000100,0100000000010001100110011001100110011001100110011001100110011010
5,00000000000,0000000000000101,0100000000010110000000000000000000000000000000000000000000000000
6,00000000000,0000000000000110,0100000000011010011001100110011001100110011001100110011001100111
7,00000000000,0000000000000111,0100000000011110110011001100110011001100110011001100110011001110
8,00000000000,0000000000001000,0100000000100001100110011001100110011001100110011001100110011010
9,00000000000,0000000000001001,0100000000100011110011001100110011001100110011001100110011001101
10,00000000000,0000000000001010,0100000000100110000000000000000000000000000000000000000000000000
11,00000000000,0000000000001011,0100000000101000001100110011001100110011001100110011001100110100
12,00000000000,0000000000001100,0100000000101010011001100110011001100110011001100110011001100111
13,00000000000,0000000000001101,0100000000101100100110011001100110011001100110011001100110011010
14,00000000000,0000000000001110,0100000000101110110011001100110011001100110011001100110011001110
15,00000000000,0000000000001111,0100000000110000100000000000000000000000000000000000000000000000
16,00000000000,0000000000010000,0100000000110001100110011001100110011001100110011001100110011010
17,00000000000,0000000000010001,0100000000110010101100110011001100110011001100110011001100110100
18,00000000000,0000000000010010,0100000000110011110011001100110011001100110011001100110011001101
19,00000000000,0000000000010011,0100000000110100111001100110011001100110011001100110011001100111
20,00000000000,0000000000010100,0100000000110110000000000000000000000000000000000000000000000000
21,00000000000,0000000000010101,0100000000110111000110011001100110011001100110011001100110011010
22,00000000000,0000000000010110,0100000000111000001100110011001100110011001100110011001100110100
23,00000000000,0000000000010111,0100000000111001010011001100110011001100110011001100110011001101
24,00000000000,0000000000011000,0100000000111010011001100110011001100110011001100110011001100111
25,00000000000,0000000000011001,0100000000111011100000000000000000000000000000000000000000000001
26,00000000000,0000000000011010,0100000000111100100110011001100110011001100110011001100110011010
27,00000000000,0000000000011011,0100000000111101101100110011001100110011001100110011001100110100
28,00000000000,0000000000011100,0100000000111110110011001100110011001100110011001100110011001110
29,00000000000,0000000000011101,0100000000111111111001100110011001100110011001100110011001100111
